COD_TOURNEY_ID,DES_TOURNEY_NAME,DES_TOURNEY_LEVEL,NUM_TOURNEY_DRAW_SIZE,DES_TOURNEY_SURFACE,FLAG_TOURNEY_IS_INDOOR,REF_YEAR,DATE_INGESTION
1970-419,Indianapolis,A,64.0,Clay,False,1970,2026-08-22
1970-421,Montreal / Toronto,M,32.0,Clay,False,1970,2026-08-22
1970-422,Cincinnati,M,64.0,Clay,False,1970,2026-08-22
1970-423,Los Angeles,A,64.0,Hard,False,1970,2026-08-22
1970-424,Berkeley,A,64.0,Hard,False,1970,2026-08-22
1970-425,Barcelona,A,64.0,Clay,False,1970,2026-08-22
1970-426,Johannesburg,A,64.0,Hard,False,1970,2026-08-22
1970-429,Stockholm Open,A,32.0,Hard,False,1970,2026-08-22
1970-430,Wembley,A,32.0,Carpet,True,1970,2026-08-22
1970-436,Charlotte,A,32.0,Clay,False,1970,2026-08-22
1970-520,Roland Garros,G,128.0,Clay,False,1970,2026-08-22
1970-540,Wimbledon,G,128.0,Grass,False,1970,2026-08-22
1970-560,US Open,G,128.0,Grass,False,1970,2026-08-22
1970-580,Australian Open,G,64.0,Grass,False,1970,2026-08-22
1970-605,Masters,M,6.0,Carpet,True,1970,2026-08-22
1970-652,St. Louis WCT,A,32.0,Carpet,True,1970,2026-08-22
1970-653,Fort Worth,A,16.0,Hard,False,1970,2026-08-22
1970-654,Sacramento,A,16.0,Hard,False,1970,2026-08-22
1970-657,Hampton,A,32.0,Carpet,True,1970,2026-08-22
1970-663,Louisville,A,16.0,Hard,False,1970,2026-08-22
1970-681,Miami,A,8.0,Clay,False,1970,2026-08-22
1970-6811,Los Angeles,A,8.0,Carpet,True,1970,2026-08-22
1970-6812,Wembley,A,16.0,Carpet,True,1970,2026-08-22
1970-6816,Corpus Christi,A,8.0,Hard,False,1970,2026-08-22
1970-6817,San Juan,A,64.0,Hard,False,1970,2026-08-22
1970-6818,St. Petersburg,A,64.0,Clay,False,1970,2026-08-22
1970-6830,Hoylake,A,64.0,Grass,False,1970,2026-08-22
1970-6831,Leicester,A,16.0,Grass,False,1970,2026-08-22
1970-6832,Midland,A,8.0,Hard,False,1970,2026-08-22
1970-6833,Tucson,A,16.0,Hard,False,1970,2026-08-22
1970-707,South Orange,A,64.0,Hard,False,1970,2026-08-22
1970-717,Indianapolis,A,64.0,Clay,False,1970,2026-08-22
1970-7308,Adelaide,A,64.0,Grass,False,1970,2026-08-22
1970-7310,Beckenham,A,64.0,Grass,False,1970,2026-08-22
1970-802,Richmond,A,8.0,Carpet,True,1970,2026-08-22
1970-8025,Manchester,A,8.0,Grass,False,1970,2026-08-22
1970-9205,Cambridge,A,5.0,Clay,False,1970,2026-08-22
1970-9238,Kansas City,A,8.0,Hard,False,1970,2026-08-22
1970-9240,Berlin,A,64.0,Clay,False,1970,2026-08-22
1970-9277,Curacao,A,32.0,Hard,False,1970,2026-08-22
1970-9278,New Orleans,A,8.0,Carpet,True,1970,2026-08-22
1970-9289,Champions Classic,A,9.0,Carpet,True,1970,2026-08-22
1970-9290,Australian Round Robin,A,5.0,Grass,False,1970,2026-08-22
1970-9291,Newport 2,A,8.0,Grass,False,1970,2026-08-22
1970-9341,Brisbane,A,64.0,Grass,False,1970,2026-08-22
1971-2010,Paris,A,32.0,Clay,False,1971,2026-08-22
1971-2011,Tehran WCT,A,32.0,Clay,False,1971,2026-08-22
1971-2016,London 3,A,8.0,Carpet,True,1971,2026-08-22
1971-2026,Madrid,A,64.0,Clay,False,1971,2026-08-22
1971-2029,Dublin,A,32.0,Grass,False,1971,2026-08-22
1971-2030,Merion,A,64.0,Hard,False,1971,2026-08-22
1971-2036,Omaha,A,16.0,Carpet,True,1971,2026-08-22
1971-2044,Quebec WCT,A,32.0,,False,1971,2026-08-22
1971-2047,Jacksonville,A,32.0,Clay,False,1971,2026-08-22
1971-2048,Vancouver WCT,A,32.0,,False,1971,2026-08-22
1971-2049,Eastbourne,A,32.0,Grass,False,1971,2026-08-22
1971-2050,Newport,A,32.0,Grass,False,1971,2026-08-22
1971-2051,Tanglewood,A,64.0,Hard,False,1971,2026-08-22
1971-2058,New York,A,32.0,,False,1971,2026-08-22
1971-2061,Des Moines,A,16.0,Carpet,True,1971,2026-08-22
1971-2065,Catania,A,64.0,Clay,False,1971,2026-08-22
1971-2066,Macon,A,64.0,Hard,False,1971,2026-08-22
1971-260,Durban,A,64.0,Hard,False,1971,2026-08-22
1971-262,London,A,32.0,Hard,False,1971,2026-08-22
1971-301,Auckland,A,32.0,Hard,False,1971,2026-08-22
1971-303,Buenos Aires,A,32.0,Clay,False,1971,2026-08-22
1971-308,Munich,A,32.0,Clay,False,1971,2026-08-22
