rank,player,age,official_points,lost_earned_points,tourn_played,dropping,next_best
1,Jannik Sinner,25,"12,800",-650,17,-,-
2,Alexander Zverev,29,"7,790",-300,20,-,-
3,Carlos Alcaraz,23,"7,160",-1000,17,-,-
4,Felix Auger-Aliassime,26,"4,640",-100,22,-,-
5,Novak Djokovic,39,"3,770",+10,16,-,-
6,Flavio Cobolli,24,"3,720",+390,26,-,-
7,Alex de Minaur,27,"3,650",+90,24,-,-
8,Daniil Medvedev,30,"3,580",-,23,-,-
9,Ben Shelton,23,"3,480",-190,22,-,-
10,Taylor Fritz,28,"3,475",+100,22,-,-
11,Arthur Fils,22,"3,140",+1000,18,-,-
12,Frances Tiafoe,28,"2,680",+550,22,-,-
13,Rafael Jodar,19,"2,671",+50,22,-,-
14,Lorenzo Musetti,24,"2,605",+190,22,-,-
15,Learner Tien,20,"2,565",+20,22,-,-
16,Alexander Bublik,29,"2,525",-,26,-,-
17,Brandon Nakashima,25,"2,485",+350,25,-,-
18,Jakub Mensik,20,"2,445",+50,21,-,-
19,Jiri Lehecka,24,"2,420",-50,21,-,-
20,Casper Ruud,27,"2,385",-,22,-,-
21,Tommy Paul,29,"2,225",+150,22,-,-
22,Luciano Darderi,24,"2,175",-,30,-,-
23,Valentin Vacherot,27,"2,168",-18,22,-,-
24,Andrey Rublev,28,"2,080",-150,23,-,-
25,Francisco Cerundolo,28,"1,980",+10,23,-,-
26,Joao Fonseca,20,"1,800",-,19,-,-
27,Alejandro Davidovich Fokina,27,"1,730",-50,24,-,-
28,Alejandro Tabilo,29,"1,688",-,33,-,-
29,Arthur Rinderknech,31,"1,683",-40,26,-,-
30,Ugo Humbert,28,"1,545",-40,27,-,-
31,Tomas Martin Etcheverry,27,"1,440",-30,29,-,-
32,Alexander Blockx,21,"1,396",-,23,-,-
33,Cameron Norrie,31,"1,365",+20,25,-,-
34,Matteo Arnaldi,25,"1,349",-,21,-,-
35,Zizou Bergs,27,"1,345",-20,28,-,-
36,Ignacio Buse,22,"1,310",-25,26,-,-
37,Arthur Fery,24,"1,253",-32,19,-,-
38,Raphael Collignon,24,"1,207",-15,25,-,-
39,Daniel Merida,21,"1,157",+40,29,-,-
40,Luca Van Assche,22,"1,140",+139,26,-,-
41,Nuno Borges,29,"1,135",+90,29,-,-
42,Thiago Agustin Tirante,25,"1,125",+114,27,-,-
43,Matteo Berrettini,30,"1,115",+30,23,-,-
44,Jan-Lennard Struff,36,"1,089",+20,26,-,-
45,Alex Michelsen,21,"1,070",-20,26,-,-
46,Hubert Hurkacz,29,"1,070",+155,23,-,-
47,Denis Shapovalov,27,"1,065",+20,23,-,-
48,Mariano Navone,25,"1,065",-1,29,-,-
49,Karen Khachanov,30,"1,050",-90,24,-,-
50,Sebastian Baez,25,"1,044",+39,30,-,-
51,Juan Manuel Cerundolo,24,"1,040",+34,30,-,-
52,Quentin Halys,29,"1,030",+50,28,-,-
53,Stefanos Tsitsipas,28,"1,000",-20,24,-,-
54,Yannick Hanfmann,34,991,+5,25,-,-
55,Jaume Munar,29,990,-60,23,-,-
56,Tallon Griekspoor,30,975,-10,28,-,-
57,Daniel Altmaier,27,964,+20,32,-,-
58,Tomas Machac,25,960,-,21,-,-
59,Roman Andres Burruchaga,24,960,-2,31,-,-
60,Ethan Quinn,22,949,-30,27,-,-
61,Adolfo Daniel Vallejo,22,948,+34,28,-,-
62,Corentin Moutet,27,935,-30,28,-,-
63,Fabian Marozsan,26,930,-20,24,-,-
64,Miomir Kecmanovic,26,925,-5,30,-,-
65,Martin Landaluce,20,922,-,28,-,-
66,Pablo Carreno Busta,35,899,+14,22,-,-
67,Adrian Mannarino,38,895,-110,31,-,-
68,Sebastian Korda,26,890,-60,22,-,-
69,Vit Kopriva,29,883,-3,31,-,-
70,Jaime Faria,23,847,+85,27,-,-
71,Botic van de Zandschulp,30,834,-135,27,-,-
72,Kamil Majchrzak,30,827,-90,24,-,-
73,Jenson Brooksby,25,800,-40,24,-,-
74,Valentin Royer,25,778,+10,33,-,-
75,Jan Choinski,30,773,+3,30,-,-
76,Camilo Ugo Carabelli,27,770,-20,29,-,-
77,Marcos Giron,33,765,+15,27,-,-
78,Hamad Medjedovic,23,764,-90,18,-,-
79,James Duckworth,34,763,+20,27,-,-
80,Zachary Svajda,23,759,+10,18,-,-
81,Marin Cilic,37,751,-,23,-,-
82,Facundo Diaz Acosta,25,732,-,29,-,-
83,Marco Trungelliti,36,731,+38,24,-,-
84,Alex Molcan,28,710,-81,19,-,-
85,Rinky Hijikata,25,709,+36,31,-,-
86,Arthur Gea,21,709,-35,23,-,-
87,Sho Shimabukuro,29,705,+8,28,-,-
88,Hugo Gaston,25,697,+25,25,-,-
89,Aleksandar Kovacevic,27,690,+17,30,-,-
90,Terence Atmane,24,687,-370,28,-,-
91,Lorenzo Sonego,31,683,-35,24,-,-
92,Martin Damm,22,675,-2,24,-,-
93,Adam Walton,27,670,-,31,-,-
94,Coleman Wong,22,668,-12,27,-,-
95,Aleksandar Vukic,30,659,-7,28,-,-
96,Mattia Bellucci,25,656,-95,27,-,-
97,Aleksandr Shevchenko,25,655,-44,25,-,-
98,Roman Safiullin,29,634,-14,14,-,-
99,Jesper de Jong,26,628,+10,24,-,-
100,Jacob Fearnley,25,623,+6,26,-,-
101,Dino Prizmic,21,618,-34,15,-,-
102,Titouan Droguet,25,616,+22,28,-,-
103,Damir Dzumhur,34,612,-20,32,-,-
104,Giovanni Mpetshi Perricard,23,600,-90,26,-,-
105,Christopher O'Connell,32,598,+107,21,-,-
106,Michael Zheng,22,590,-5,17,-,-
107,Kyrian Jacquet,25,581,+30,20,-,-
108,Otto Virtanen,25,574,+10,22,-,-
109,Benjamin Bonzi,30,572,-84,21,-,-
110,Toby Samuel,23,567,-9,25,-,-
111,Emilio Nava,24,561,-43,26,-,-
112,Eliot Spizzirri,24,557,-,15,-,-
113,Yibing Wu,26,551,-2,19,-,-
114,Gabriel Diallo,24,550,-75,25,-,-
115,Nicolas Mejia,26,548,+18,27,-,-
116,Patrick Kypson,26,540,-30,19,-,-
117,Shintaro Mochizuki,23,532,-45,23,-,-
118,Zsombor Piros,26,530,-12,17,-,-
119,Henrique Rocha,22,513,+4,30,-,-
120,Vilius Gaubas,21,511,-12,27,-,-
121,Marton Fucsovics,34,510,-240,20,-,-
122,Dane Sweeny,25,506,-12,29,-,-
123,Francisco Comesana,25,503,-100,23,-,-
124,Yunchaokete Bu,24,496,-50,19,-,-
125,Sebastian Ofner,30,495,-10,23,-,-
126,Pablo Llamas Ruiz,23,491,+2,21,-,-
127,Stan Wawrinka,41,486,-27,22,-,-
128,Gustavo Heide,24,474,-,24,-,-
129,Andrea Pellegrino,29,462,+8,20,-,-
130,Alexei Popyrin,27,458,-42,27,-,-
131,Leandro Riedi,24,457,-30,13,-,-
132,Nikoloz Basilashvili,34,456,-26,22,-,-
133,Holger Rune,23,450,-200,15,-,-
134,Dalibor Svrcina,23,445,-129,22,-,-
135,Cristian Garin,30,438,-,16,-,-
136,Stefanos Sakellaridis,21,435,+67,25,-,-
137,Grigor Dimitrov,35,432,-,20,-,-
138,Alexandre Muller,29,430,-15,27,-,-
139,Lloyd Harris,29,428,+105,19,-,-
140,Hugo Dellien,33,422,-4,23,-,-
141,Jack Draper,24,410,-,17,-,-
142,Arthur Cazaux,24,396,-36,17,-,-
143,Jurij Rodionov,27,395,-68,28,-,-
144,Tomas Barrios Vera,28,395,-5,29,-,-
145,Tom Gentzsch,22,393,-9,33,-,-
146,Mackenzie McDonald,31,390,-15,23,-,-
147,Stefano Travaglia,34,388,-41,29,-,-
148,Pedro Martinez,29,387,+1,29,-,-
149,Nicolai Budkov Kjaer,19,379,+6,28,-,-
150,Soonwoo Kwon,28,379,-2,13,-,-
151,Chris Rodesch,25,377,-,19,-,-
152,Mark Lajal,23,375,+14,24,-,-
153,Reilly Opelka,28,371,-50,16,-,-
154,Zhizhen Zhang,29,365,-,22,-,-
155,Juan Carlos Prado Angelo,21,364,-11,26,-,-
156,Daniil Glinka,26,363,+6,30,-,-
157,Rei Sakamoto,20,357,+7,25,-,-
158,Gauthier Onclin,25,355,+16,31,-,-
159,Clement Tabur,26,353,-,25,-,-
160,Taro Daniel,33,351,+40,19,-,-
161,Billy Harris,31,349,-,24,-,-
162,Borna Gojo,28,349,-5,15,-,-
163,Nishesh Basavareddy,21,348,-51,15,-,-
164,Alex Bolt,33,348,-6,17,-,-
165,Jack Pinnington Jones,23,344,+22,19,-,-
166,Marco Cecchinato,33,342,+10,28,-,-
167,Dusan Lajovic,36,338,-62,26,-,-
168,Francesco Maestrelli,23,337,-12,24,-,-
169,Federico Agustin Gomez,29,332,+12,29,-,-
170,Elmer Moller,23,331,-2,22,-,-
171,Joel Schwaerzler,20,324,-66,27,-,-
172,Gonzalo Bueno,22,322,-,31,-,-
173,Michael Mmoh,28,321,-,20,-,-
174,Remy Bertola,27,319,-,32,-,-
175,Zdenek Kolar,29,318,-52,34,-,-
176,Luka Mikrut,22,317,-,12,-,-
177,Max Alcala Gurri,23,317,-6,28,-,-
178,Jerome Kym,23,315,-6,15,-,-
179,Bernard Tomic,33,315,-37,30,-,-
180,Tristan Schoolkate,25,313,+11,28,-,-
181,Federico Cina,19,312,-12,29,-,-
182,Tristan Boyer,25,310,-28,21,-,-
183,Alexis Galarneau,27,309,-5,27,-,-
184,Andre Ilagan,25,307,+38,31,-,-
185,Clement Chidekh,25,304,+24,31,-,-
186,Jan Kumstat,19,302,+146,21,-,-
187,Andrea Guerrieri,27,301,-1,26,-,-
188,Vitaliy Sachko,29,298,-,23,-,-
189,Lautaro Midon,22,293,-,26,-,-
190,Diego Dedura,18,291,-,29,-,-
191,Lukas Neumayer,23,290,-44,25,-,-
192,David Jorda Sanchis,32,289,-16,28,-,-
193,Keegan Smith,28,287,-,31,-,-
194,Gianluca Cadenasso,21,286,-3,26,-,-
195,Edas Butvilas,22,286,+6,27,-,-
196,Harry Wendelken,24,285,+4,29,-,-
197,Liam Broady,32,282,-,31,-,-
198,Thiago Seyboth Wild,26,281,-,20,-,-
199,Ugo Blanchet,27,279,-17,23,-,-
200,Moise Kouame,17,279,+16,20,-,-
201,Lorenzo Giustino,34,279,-11,32,-,-
202,Yoshihito Nishioka,30,276,-10,10,-,-
203,Luka Pavlovic,26,273,-,25,-,-
204,Elias Ymer,30,272,+6,24,-,-
205,Timofey Skatov,25,272,-119,31,-,-
206,Laslo Djere,31,271,+3,22,-,-
207,Francesco Passaro,25,270,+12,24,-,-
208,Daniel Rincon,23,270,-4,27,-,-
209,Roberto Carballes Baena,33,269,-30,24,-,-
210,Pol Martin Tiffon,27,269,-,24,-,-
211,Maxim Mrva,19,265,+87,29,-,-
212,Guy Den Ouden,24,263,-,18,-,-
213,Felix Gill,24,262,+3,32,-,-
214,Henri Squire,25,261,-12,29,-,-
215,Braden Shick,22,260,-,25,-,-
216,Kimmer Coppejans,32,260,-,26,-,-
217,Liam Draxl,24,255,-6,23,-,-
218,Rio Noguchi,27,255,-10,27,-,-
219,Nikolas Sanchez Izquierdo,27,255,-6,30,-,-
220,Chun-Hsin Tseng,25,253,+44,20,-,-
221,Colton Smith,23,253,-30,22,-,-
222,Genaro Alberto Olivieri,28,249,-,27,-,-
223,Raul Brancaccio,29,249,+5,29,-,-
224,Oliver Crawford,27,247,-,26,-,-
225,Moez Echargui,33,247,-40,28,-,-
226,Henry Searle,20,246,-13,24,-,-
227,Juncheng Shang,21,245,-,13,-,-
228,Stefano Napolitano,31,245,-,20,-,-
229,Guido Ivan Justo,28,244,-,32,-,-
230,Roberto Bautista Agut,38,243,-75,20,-,-
231,Kilian Feldbausch,20,241,-,18,-,-
232,Juan Pablo Varillas,30,240,-,27,-,-
233,Alex Barrena,23,240,+22,31,-,-
234,Sumit Nagal,29,239,-,24,-,-
235,Alejandro Moro Canas,25,239,-,31,-,-
236,Frederico Ferreira Silva,31,239,-6,32,-,-
237,Max Houkes,26,238,+3,30,-,-
238,Luca Nardi,23,236,-110,18,-,-
239,Jay Clarke,28,236,-,32,-,-
240,Gilles Arnaud Bailly,20,233,-12,29,-,-
241,Darwin Blanch,18,232,-17,28,-,-
242,James McCabe,23,231,-4,30,-,-
243,Andy Andrade,27,229,+10,25,-,-
244,August Holmgren,28,228,-19,27,-,-
245,Yi Zhou,21,228,-6,24,-,-
246,Giulio Zeppieri,24,227,-12,11,-,-
247,Pavel Kotov,27,226,-,16,-,-
248,J.J. Wolf,27,225,+30,10,-,-
249,Matej Dodig,21,225,-,25,-,-
250,Hayato Matsuoka,21,225,+48,29,-,-
251,Marc-Andrea Huesler,30,224,-6,21,-,-
252,Andrej Nedic,21,220,-6,26,-,-
253,Maks Kasnikowski,23,220,-23,28,-,-
254,Matheus Pucinelli De Almeida,25,219,+20,24,-,-
255,Hugo Grenier,30,218,-,21,-,-
256,Abdullah Shelbayh,22,218,-4,24,-,-
257,Felix Balshaw,20,218,-2,24,-,-
258,Charles Broom,28,218,+26,29,-,-
259,Juan Bautista Torres,24,218,+10,31,-,-
260,Buvaysar Gadamauri,26,215,-4,25,-,-
261,Matias Soto,27,214,-,25,-,-
262,Martin Krumich,23,214,-6,32,-,-
263,Mili Poljicak,22,213,-,19,-,-
264,Harold Mayot,24,213,-10,19,-,-
265,Filip Cristian Jianu,24,213,+16,32,-,-
266,Max Basing,23,212,-14,22,-,-
267,Franco Roncadelli,26,212,-28,26,-,-
268,Dominic Stricker,24,211,+50,18,-,-
269,Ilia Simakin,22,210,-,25,-,-
270,Kaichi Uchida,32,210,-8,29,-,-
271,Hynek Barton,22,210,-,31,-,-
272,Philip Henning,25,209,+25,25,-,-
273,Sean Cuenin,22,208,+27,24,-,-
274,Marvin Moeller,27,205,+41,29,-,-
275,Thiago Monteiro,32,204,-,22,-,-
276,Michele Ribecai,23,204,-14,30,-,-
277,Dan Added,27,203,-51,30,-,-
278,Joao Lucas Reis Da Silva,26,202,-12,27,-,-
279,Nick Hardt,25,200,-2,19,-,-
280,Inaki Montes-De La Torre,23,200,-4,24,-,-
281,Alvaro Guillen Meza,23,199,-,29,-,-
282,Alastair Gray,28,198,-11,23,-,-
283,Juan Manuel La Serna,22,197,+4,25,-,-
284,Pedro Boscardin Dias,23,197,-4,31,-,-
285,Franco Agamenone,33,196,-17,28,-,-
286,Petr Bar Biryukov,24,196,-11,31,-,-
287,Matteo Martineau,27,195,-,28,-,-
288,Pierre-Hugues Herbert,35,194,-,15,-,-
289,Cezar Cretu,25,194,-17,23,-,-
290,Giles Hussey,29,192,-12,27,-,-
291,Sergey Fomin,25,192,+12,28,-,-
292,Sandro Kopp,26,192,-8,31,-,-
293,Carl Emil Overbeck,25,190,+24,21,-,-
294,Rodrigo Pacheco Mendez,21,190,-,26,-,-
295,Stefan Kozlov,28,189,+4,21,-,-
296,Florian Broska,28,189,-,22,-,-
297,Yu Hsiou Hsu,27,188,-44,25,-,-
298,Mert Alkaya,26,185,-,30,-,-
299,Matthew Dellavedova,26,185,+7,41,-,-
300,Petr Nesterov,23,184,-,27,-,-
301,Florent Bax,27,184,-43,29,-,-
302,Federico Bondioli,21,184,-2,30,-,-
303,Yanki Erel,25,182,-17,23,-,-
304,Murphy Cassone,24,182,-8,26,-,-
305,Stefan Dostanic,24,181,-19,15,-,-
306,Igor Marcondes,29,181,+6,20,-,-
307,Gael Monfils,39,180,-,12,-,-
308,Radu Mihai Papoe,23,180,-4,22,-,-
309,Justin Engel,18,179,-6,22,-,-
310,David Goffin,35,178,-10,13,-,-
311,Johannus Monday,24,178,+1,19,-,-
312,Filippo Romano,21,178,-2,27,-,-
313,Miguel Damas,26,177,-6,33,-,-
314,Jay Friend,22,176,-,14,-,-
315,Max Hans Rehberg,22,176,+18,20,-,-
316,Daniel Milavsky,24,175,-3,30,-,-
317,Max Schoenhaus,19,174,+2,25,-,-
318,Fajing Sun,29,174,+8,29,-,-
319,Duje Ajdukovic,25,174,-7,29,-,-
320,Luciano Emanuel Ambrogi,22,173,+2,31,-,-
321,Gonzalo Villanueva,31,172,+4,33,-,-
322,Michael Geerts,31,171,+15,28,-,-
323,Andres Martin,25,170,-,29,-,-
324,Daniel Michalski,26,169,+6,26,-,-
325,Calvin Hemery,31,168,+4,24,-,-
326,Tyler Zink,25,168,+3,30,-,-
327,Nicolas Kicker,34,168,+28,30,-,-
328,Akira Santillan,29,168,-23,32,-,-
329,Oliver Tarvet,22,167,+35,13,-,-
330,Anton Matusevich,25,166,+19,24,-,-
331,Sascha Gueymard Wayenburg,23,164,-,30,-,-
332,Enrico Dalla Valle,28,164,-,30,-,-
333,Jordan Thompson,32,163,-10,9,-,-
334,Daniel Elahi Galan,30,163,-44,22,-,-
335,Mikhail Kukushkin,38,162,-,21,-,-
336,Eliakim Coulibaly,24,162,-,24,-,-
337,Raphael Perot,25,161,+9,27,-,-
338,Mathys Erhard,24,161,-,32,-,-
339,Marko Topo,22,160,-,22,-,-
340,Dali Blanch,23,160,-17,27,-,-
341,Lucas Poullain,30,160,+21,28,-,-
342,Edward Winter,21,159,+10,18,-,-
343,Ognjen Milic,19,158,-,24,-,-
344,Oriol Roca Batalla,33,158,+5,27,-,-
345,Facundo Mena,33,157,-,24,-,-
346,Yasutaka Uchiyama,34,156,-,19,-,-
347,Hamish Stewart,27,156,-1,24,-,-
348,Thomas Faurel,20,153,-9,30,-,-
349,Tiago Torres,24,153,-,26,-,-
350,Philip Sekulic,22,152,-28,25,-,-
351,Ivan Marrero Curbelo,27,151,-,20,-,-
352,Tiago Pereira,22,151,-3,40,-,-
353,Antoine Ghibaudo,21,150,-9,24,-,-
354,Mitchell Krueger,32,148,-,22,-,-
355,Juan Estevez,20,147,-13,31,-,-
356,Geoffrey Blancaneaux,28,144,+3,30,-,-
357,Hernan Casanova,32,143,-16,22,-,-
358,Jake Delaney,29,143,-2,28,-,-
359,Petr Brunclik,20,142,-20,17,-,-
360,Francesco Forti,27,142,-,24,-,-
361,Norbert Gombos,36,141,+26,22,-,-
362,Lui Maxted,22,141,+18,23,-,-
363,Gabriele Piraino,22,140,-29,24,-,-
364,Eduardo Ribeiro,28,140,+6,25,-,-
365,Tommaso Compagnucci,26,140,-1,28,-,-
366,Marc Polmans,29,139,-3,18,-,-
367,Alex Martinez,25,139,-,23,-,-
368,Cruz Hewitt,17,139,+3,25,-,-
369,Tung-Lin Wu,28,138,-,22,-,-
370,Murkel Dellien,28,138,-24,28,-,-
371,Andrea Collarini,34,136,-,21,-,-
372,Manas Dhamne,18,136,-3,26,-,-
373,Dimitar Kuzmanov,33,135,+4,33,-,-
374,Andrey Chepelev,28,135,-9,39,-,-
375,Lucio Ratti,22,134,+4,27,-,-
376,Carlos Sanchez Jover,26,134,-9,29,-,-
377,Carlos Maria Zarate,21,133,+5,31,-,-
378,Max Wiskandt,24,132,-3,26,-,-
379,Jacopo Vasami,18,131,-6,15,-,-
380,Juan Pablo Ficovich,29,131,-22,23,-,-
381,Jonas Forejtek,25,131,-6,24,-,-
382,Marek Gengel,30,131,-,25,-,-
383,Blaise Bicknell,24,130,-4,23,-,-
384,Georgii Kravchenko,26,130,+2,33,-,-
385,Ilya Ivashka,32,129,-7,12,-,-
386,Jack Kennedy,18,129,-,18,-,-
387,Alejo Sanchez Quilez,21,129,+23,22,-,-
388,Yuta Shimizu,27,129,-,24,-,-
389,Mees Rottgering,19,127,+10,20,-,-
390,Trevor Svajda,20,125,-6,13,-,-
391,Andrej Martin,36,125,+2,19,-,-
392,Daniel Masur,31,125,-,20,-,-
393,Samuele Pieri,24,125,-6,29,-,-
394,Dhakshineswar Suresh,26,124,-,11,-,-
395,Justin Boulais,24,123,-2,25,-,-
396,Arthur Nagel,23,123,-,27,-,-
397,Mats Rosenkranz,28,122,-20,13,-,-
398,Arthur Weber,34,122,-,19,-,-
399,Masamichi Imamura,27,122,+6,29,-,-
400,Carlos Taberner,29,121,-10,12,-,-
401,Vadym Ursu,29,121,-,28,-,-
402,Omar Jasika,29,121,+15,30,-,-
403,Robin Bertrand,23,121,-16,36,-,-
404,Oleg Prihodko,28,120,-6,21,-,-
405,Stefan Palosi,26,120,-2,21,-,-
406,Garrett Johns,25,120,-10,30,-,-
407,Dylan Dietrich,21,119,+12,9,-,-
408,Sebastian Sorger,20,119,-1,22,-,-
409,Olle Wallin,24,119,+1,24,-,-
410,Robert Strombachs,26,119,+14,28,-,-
411,Patrick Zahraj,27,119,-,30,-,-
412,Thanasi Kokkinakis,30,118,+10,9,-,-
413,Mateus Alves,25,118,-,22,-,-
414,Andrew Fenty,26,118,-6,27,-,-
415,Yosuke Watanuki,28,117,-,15,-,-
416,Massimo Giunta,22,117,+4,27,-,-
417,Johan Nikles,29,116,-,23,-,-
418,Ioannis Xilas,25,116,-14,29,-,-
419,Benjamin Hassan,31,115,+28,22,-,-
420,Semen Pankin,26,115,+2,25,-,-
421,Eric Vanshelboim,25,115,-2,26,-,-
422,Ozan Baris,22,114,+3,16,-,-
423,Henry Bernet,19,114,+4,22,-,-
424,Mika Brunold,21,113,-2,17,-,-
425,Maxime Chazal,33,113,+14,25,-,-
426,Niels Visker,24,113,-,26,-,-
427,Constantin Bittoun Kouzmine,27,113,-,35,-,-
428,Valerio Aboian,24,111,-,26,-,-
429,Mika Petkovic,19,111,-,28,-,-
430,Santiago Rodriguez Taverna,27,111,-12,29,-,-
431,Yannik Kelm,21,109,-,25,-,-
432,Vladyslav Orlov,31,109,-3,26,-,-
433,Javier Barranco Cosano,27,108,+9,18,-,-
434,Laurent Lokoli,31,107,-13,14,-,-
435,Nerman Fatic,31,107,-10,16,-,-
436,Corentin Denolly,29,107,-,22,-,-
437,Juan Cruz Martin Manzano,21,107,-13,24,-,-
438,Marat Sharipov,23,107,-18,25,-,-
439,Matthew William Donald,21,107,+6,27,-,-
440,Denis Yevseyev,33,107,-,28,-,-
441,Timo Legout,24,106,+27,11,-,-
442,Luca Staeheli,26,106,+25,27,-,-
443,Viktor Durasovic,29,106,+3,27,-,-
444,Spencer Johnson,23,104,-2,10,-,-
445,Karim Bennani,18,104,-,21,-,-
446,Cyril Vandermeersch,27,104,-8,22,-,-
447,Jie Cui,28,104,+2,23,-,-
448,Ryan Peniston,30,103,-,13,-,-
449,Tom Paris,23,103,-,16,-,-
450,Alafia Ayeni,27,103,+2,18,-,-
451,Rudolf Molleker,25,103,+8,21,-,-
452,Karl Poling,27,103,+10,26,-,-
453,Oleksii Krutykh,26,103,+20,30,-,-
454,Moerani Bouzige,27,103,-,32,-,-
455,Luca Castelnuovo,29,102,-2,22,-,-
456,Quinn Vandecasteele,23,102,+7,24,-,-
457,Daniel Dutra da Silva,38,102,-2,30,-,-
458,James Trotter,27,101,-8,19,-,-
459,Felipe Meligeni Alves,28,101,+30,12,-,-
460,Joaquin Aguilar Cardozo,21,101,+11,17,-,-
461,Khumoyun Sultanov,27,101,+14,19,-,-
462,Kenta Miyoshi,22,100,+9,11,-,-
463,Beibit Zhukayev,25,99,-15,19,-,-
464,Cannon Kingsley,25,99,-13,20,-,-
465,Alex Hernandez,27,99,-,25,-,-
466,Emile Hudd,26,99,+2,30,-,-
467,Christian Langmo,30,99,-2,33,-,-
468,Jack Loge,21,98,-,31,-,-
469,Jason Kubler,33,97,-,10,-,-
470,Blake Ellis,27,96,-,18,-,-
471,Alex Rybakov,29,96,+7,22,-,-
472,Eero Vasa,29,96,-3,22,-,-
473,Ivan Gakhov,29,96,-,22,-,-
474,Carlo Alberto Caniato,20,96,-5,26,-,-
475,Paulo Andre Saraiva Dos Santos,26,96,+15,27,-,-
476,Sergi Perez Contri,28,96,-2,27,-,-
477,Kei Nishikori,36,95,-,9,-,-
478,Lorenzo Carboni,20,95,+2,27,-,-
479,Koki Matsuda,25,94,-10,19,-,-
480,Renta Tokuda,28,94,-9,24,-,-
481,Sergio Callejon Hernando,21,94,-22,25,-,-
482,Kasidit Samrej,25,94,-26,30,-,-
483,Yassine Dlimi,23,93,-1,14,-,-
484,Luca Potenza,26,93,-2,22,-,-
485,Maximus Jones,21,93,-16,24,-,-
486,Louis Wessels,27,93,+12,27,-,-
487,Izan Almazan Valiente,20,93,+13,27,-,-
488,Duncan Chan,21,92,-1,11,-,-
489,Thijs Boogaard,18,92,-,13,-,-
490,Niels McDonald,18,92,+12,20,-,-
491,Dusan Obradovic,25,92,-3,31,-,-
492,Patrick Schoen,21,91,-,21,-,-
493,Anton Shepp,23,91,-,22,-,-
494,Adrian Boitan,27,91,-17,23,-,-
495,Colin Sinclair,31,91,+2,29,-,-
496,George Loffhagen,25,90,-3,16,-,-
497,Radu Albot,36,90,+3,16,-,-
498,Daniel Siniakov,23,90,-9,18,-,-
499,Paul Jubb,26,90,-41,19,-,-
500,Bor Artnak,22,90,-15,20,-,-
501,Giuseppe La Vela,25,90,-,23,-,-
502,Dominik Palan,25,90,-,24,-,-
503,Pedro Sakamoto,33,90,-,30,-,-
504,Alex Marti Pujolras,27,89,+6,20,-,-
505,Peter Makk,24,89,+14,24,-,-
506,Cesar Bouchelaghem,22,88,-,25,-,-
507,Lilian Marmousez,24,87,-43,11,-,-
508,Enzo Aguiard,24,87,-5,17,-,-
509,Reda Bennani,19,87,-10,19,-,-
510,Miguel Tobon,20,87,-4,28,-,-
511,Lorenzo Joaquin Rodriguez,26,87,-14,30,-,-
512,Gianmarco Ferrari,25,86,-14,18,-,-
513,Alan Magadan,25,86,+12,27,-,-
514,Tibo Colson,26,85,-,14,-,-
515,Hiroki Moriya,35,85,-1,22,-,-
516,Federico Arnaboldi,26,85,+1,22,-,-
517,Hikaru Shiraishi,26,85,-3,27,-,-
518,Tai Sach,23,85,-1,30,-,-
519,Alexander Donski,28,84,-6,12,-,-
520,Aziz Dougaz,29,84,+25,12,-,-
521,Filip Jeff Planinsek,25,84,-3,28,-,-
522,Milos Karol,23,83,-10,13,-,-
523,Sanhui Shin,29,83,-10,25,-,-
524,Joao Eduardo Schiessl,22,82,+3,21,-,-
525,Ryan Nijboer,27,82,-7,27,-,-
526,Evan Zhu,28,82,+16,31,-,-
527,Aziz Ouakaa,27,82,-9,37,-,-
528,Samir Banerjee,22,81,-10,9,-,-
529,Li Tu,30,81,-10,12,-,-
530,Filip Misolic,25,80,-16,10,-,-
531,Pedro Vives Marcos,25,79,-16,13,-,-
532,Fabrizio Andaloro,25,79,-5,16,-,-
533,Marcel Zielinski,25,79,+10,25,-,-
534,Gerard Campana Lee,21,79,+2,32,-,-
535,Ivan Ivanov,17,78,-,25,-,-
536,Maxim Zhukov,21,77,-2,15,-,-
537,Gavin Young,23,77,+2,20,-,-
538,Jelle Sels,31,77,-3,23,-,-
539,Luca Wiedenmann,28,77,-,26,-,-
540,Takuya Kumasaka,27,76,+1,28,-,-
541,Pavle Marinkov,20,75,-6,21,-,-
542,Michael Bassem Sobhy,22,75,-3,22,-,-
543,Mitsuki Wei Kang Leong,22,75,-1,25,-,-
544,M Rifki Fitriadi,27,75,-,26,-,-
545,Alexander Binda,24,75,-,27,-,-
546,Toufik Sahtali,27,75,-,34,-,-
547,Matyas Fuele,27,74,-,17,-,-
548,Daniil Ostapenkov,23,74,-9,22,-,-
549,Digvijay Pratap Singh,26,74,-6,28,-,-
550,Pavel Lagutin,21,73,-13,20,-,-
551,Leo Borg,23,73,-3,23,-,-
552,Fares Zakaria,25,73,-12,26,-,-
553,Kokoro Isomura,23,73,+2,27,-,-
554,Filip Peliwo,32,73,-2,28,-,-
555,Dimitris Sakellaridis,20,73,-1,49,-,-
556,Shunsuke Mitsui,24,72,+16,16,-,-
557,Fausto Tabacco,24,72,-4,25,-,-
558,Alec Deckers,26,72,+4,26,-,-
559,Jacopo Berrettini,27,71,-,14,-,-
560,Alec Beckley,25,71,-3,17,-,-
561,Carlos Lopez Montagud,26,71,-1,19,-,-
