TOURNEY_ID,TOURNEY_NAME,TOURNEY_LEVEL,TOURNEY_DRAW_SIZE,TOURNEY_SURFACE,TOURNEY_IS_INDOOR,TOURNEY_START_DATE,REF_YEAR
1998-481,Copenhagen,Outro,32,Carpet,Sim,1998-01-09,1998
1998-475,San Marino,Outro,32,Clay,-,1998-01-10,1998
1998-807,Mexico City,Outro,32,Clay,-,1998-01-26,1998
2000-D068,Davis Cup,Davis Cup,4,Hard,-,2000-01-04,2000
2000-352,Paris Masters,Masters 1000,48,Carpet,Sim,2000-01-13,2000
2002-580,Australian Open,Grand Slam,128,Hard,-,2002-01-14,2002
2005-568,St. Petersburg,Outro,32,Carpet,Sim,2005-01-24,2005
2005-423,Los Angeles,Outro,32,Hard,-,2005-01-25,2005
2008-D009,Davis Cup,Davis Cup,4,Hard,-,2008-01-08,2008
2009-418,Washington,Outro,48,Hard,-,2009-01-02,2009
2009-D077,Davis Cup,Davis Cup,4,Clay,-,2009-01-18,2009
2009-337,Vienna,Outro,32,Hard,-,2009-01-26,2009
2011-6116,Atlanta,Outro,28,Hard,-,2011-01-18,2011
2012-D073,Davis Cup,Davis Cup,4,Hard,-,2012-01-10,2012
2013-424,San Jose,Outro,28,Hard,-,2013-01-11,2013
2014-D056,Davis Cup,Davis Cup,4,Hard,-,2014-01-04,2014
2015-D055,Davis Cup,Davis Cup,4,Hard,-,2015-01-06,2015
2015-404,Indian Wells Masters,Masters 1000,96,Hard,-,2015-01-12,2015
2017-0319,Kitzbuhel,Outro,32,Clay,-,2017-01-31,2017
2019-M-DC-2019-G2-AO-M-NZL-INA-01,Davis Cup,Davis Cup,4,Hard,-,2019-01-14,2019
2020-6932,ATP Rio de Janeiro,Outro,32,Clay,-,2020-01-17,2020
2022-M-DC-2022-WG1-M-SVK-ROU-01,Davis Cup,Davis Cup,4,Clay,-,2022-01-16,2022
2024-520,Roland Garros,Grand Slam,128,Clay,-,2024-01-27,2024
1968-T161,Kings Cup Final,Outro,-1,Carpet,Sim,1968-01-08,1968
1968-D026,Davis Cup,Davis Cup,4,Clay,-,1968-01-14,1968
1969-713,Hobart,Outro,32,Grass,-,1968-01-30,1968
1969-303,Buenos Aires,Outro,32,Clay,-,1969-01-11,1969
1970-2036,Omaha,Outro,16,Hard,-,1970-01-28,1970
1971-2029,Dublin,Outro,32,Grass,-,1971-01-05,1971
1974-1537,Tempe,Outro,32,Hard,-,1974-01-27,1974
1975-319,Kitzbuhel,Outro,32,Clay,-,1975-01-13,1975
1975-D027,Davis Cup,Davis Cup,4,Clay,-,1975-01-25,1975
1976-2016,London,Outro,32,Carpet,Sim,1976-01-01,1976
1977-254,Johannesburg,Outro,32,Hard,-,1977-01-08,1977
1977-319,Kitzbuhel,Outro,32,Clay,-,1977-01-11,1977
1979-357,Stuttgart Indoor,Outro,32,Hard,Sim,1979-01-26,1979
1981-429,Stockholm,Outro,64,Hard,-,1981-01-02,1981
1981-364,Sofia,Outro,32,Carpet,Sim,1981-01-14,1981
1987-435,Rye Brook,Outro,32,Hard,-,1987-01-24,1987
1988-403,Key Biscayne,Masters 1000,128,Hard,-,1988-01-14,1988
1989-D029,Davis Cup,Davis Cup,4,Clay,-,1989-01-03,1989
1989-379,Prague,Outro,32,Clay,-,1989-01-07,1989
1991-605,Tour Finals,ATP Finals,8,Carpet,Sim,1991-01-12,1991
1992-339,Adelaide,Outro,32,Hard,-,1991-01-30,1991
1992-D064,Davis Cup,Davis Cup,4,Hard,-,1992-01-01,1992
1992-418,Washington,Outro,56,Hard,-,1992-01-13,1992
1993-496,Marseille,Outro,32,Carpet,Sim,1993-01-01,1993
1993-494,Jakarta,Outro,32,Hard,-,1993-01-11,1993
1995-407,Rotterdam,Outro,32,Carpet,Sim,1995-01-27,1995
1997-D012,Davis Cup,Davis Cup,4,Clay,-,1997-01-19,1997
1998-D021,Davis Cup,Davis Cup,4,Carpet,Sim,1998-01-17,1998
2003-D004,Davis Cup,Davis Cup,4,Carpet,Sim,2003-01-07,2003
2004-315,Newport,Outro,32,Grass,-,2004-01-05,2004
2006-D016,Davis Cup,Davis Cup,4,Clay,-,2006-01-22,2006
2008-D044,Davis Cup,Davis Cup,4,Clay,-,2008-01-11,2008
2008-D043,Davis Cup,Davis Cup,4,Hard,-,2008-01-21,2008
2010-414,Hamburg,Outro,48,Clay,-,2010-01-19,2010
2012-416,Rome Masters,Masters 1000,56,Clay,-,2012-01-13,2012
2012-573,Valencia,Outro,32,Hard,-,2012-01-21,2012
2015-451,Doha,Outro,32,Hard,-,2015-01-05,2015
2019-M-DC-2019-FLS-F-M-USA-ITA-01,Davis Cup,ATP Finals,4,Hard,-,2019-01-20,2019
2020-9408,Sardinia,Outro,32,Clay,-,2020-01-12,2020
2022-M-DC-2022-FLS-2-B-M-KOR-CAN-01,Davis Cup,ATP Finals,2,Hard,-,2022-01-13,2022
2023-M-DC-2023-FLS-3-C-M-SRB-CZE-01,Davis Cup,ATP Finals,2,Hard,-,2023-01-16,2023
2023-0314,Gstaad,Outro,32,Clay,-,2023-01-17,2023
2025-321,Stuttgart,ATP 250,28,Grass,Não,2025-01-09,2025
2025-352,Paris Masters,Masters 1000,56,Hard,Sim,2025-01-27,2025
2025-M-DC-2025-QLS-M-ISR-GER-01,Davis Cup,Davis Cup,4,Hard,-,2025-01-31,2025
2026-M-DC-2026-WG1-PO-NZL-BIH-01,Davis Cup,Davis Cup,4,Hard,Não,2026-01-06,2026
1968-T113,Madrid,Outro,-1,Clay,-,1968-01-15,1968
1969-D028,Davis Cup,Davis Cup,4,Clay,-,1969-01-09,1969
1969-707,South Orange,Outro,64,Grass,-,1969-01-28,1969
1972-410,Monte Carlo,Outro,32,Clay,-,1972-01-27,1972
1973-2051,Tanglewood,Outro,32,-,-,1973-01-12,1973
1974-410,Monte Carlo WCT,Outro,32,Clay,-,1974-01-08,1974
1977-416,Rome,Masters 1000,64,Clay,-,1977-01-16,1977
1977-540,Wimbledon,Grand Slam,128,Grass,-,1977-01-20,1977
1978-317,Hilversum,Outro,32,Clay,-,1978-01-24,1978
1980-406,Brussels,Outro,32,Clay,-,1980-01-09,1980
1982-D017,Davis Cup,Davis Cup,4,Clay,-,1982-01-09,1982
1982-319,Kitzbuhel,Outro,64,Clay,-,1982-01-19,1982
1984-326,Brisbane,Outro,32,Carpet,Sim,1984-01-01,1984
1984-338,Sydney Outdoor,Outro,64,Grass,-,1984-01-10,1984
1984-D045,Davis Cup,Davis Cup,4,Hard,-,1984-01-19,1984
1985-418,Washington,Outro,56,Clay,-,1985-01-15,1985
1986-D006,Davis Cup,Davis Cup,4,Grass,-,1986-01-18,1986
1987-610,Dallas WCT,Outro,9,Carpet,Sim,1987-01-07,1987
1987-D041,Davis Cup,Davis Cup,4,Clay,-,1987-01-24,1987
1987-D020,Davis Cup,Davis Cup,4,Hard,-,1987-01-30,1987
1988-D041,Davis Cup,Davis Cup,4,Carpet,Sim,1988-01-06,1988
1989-430,Wembley,Outro,32,Carpet,Sim,1989-01-07,1989
1989-317,Hilversum,Outro,32,Clay,-,1989-01-24,1989
1990-401,Philadelphia,Outro,48,Carpet,Sim,1990-01-19,1990
1990-224,Schenectady,Outro,28,Hard,-,1990-01-20,1990
1991-321,Stuttgart Outdoor,Outro,48,Clay,-,1991-01-15,1991
1991-D064,Davis Cup,Davis Cup,4,Carpet,Sim,1991-01-29,1991
1992-422,Cincinnati Masters,Masters 1000,56,Hard,-,1992-01-10,1992
1992-D009,Davis Cup,Davis Cup,4,Clay,-,1992-01-17,1992
1995-420,New Haven,Outro,56,Hard,-,1995-01-14,1995
1996-D026,Davis Cup,Davis Cup,4,Clay,-,1996-01-05,1996
1997-D023,Davis Cup,Davis Cup,4,Hard,-,1997-01-02,1997
1999-495,Dubai,Outro,32,Hard,-,1999-01-08,1999
2001-D010,Davis Cup,Davis Cup,4,Carpet,Sim,2001-01-09,2001
2003-314,Gstaad,Outro,32,Clay,-,2003-01-07,2003
2005-500,Halle,Outro,32,Grass,-,2005-01-06,2005
2006-D034,Davis Cup,Davis Cup,4,Hard,-,2006-01-10,2006
2006-D083,Davis Cup,Davis Cup,4,Clay,-,2006-01-21,2006
2007-D045,Davis Cup,Davis Cup,4,Hard,-,2007-01-20,2007
2008-D020,Davis Cup,Davis Cup,4,Clay,-,2008-01-11,2008
2009-D024,Davis Cup,Davis Cup,4,Hard,-,2009-01-06,2009
2010-D005,Davis Cup,Davis Cup,4,Clay,-,2010-01-05,2010
2011-D064,Davis Cup,Davis Cup,4,Hard,-,2011-01-08,2011
